Year,Quarter,GDP_Growth
1947,2,-1.0625
1947,3,-0.8234
1947,4,6.4052
1948,1,6.1542
1948,2,6.7679
1948,3,2.3114
1948,4,0.4477
1949,1,-5.3989
1949,2,-1.3574
1949,3,4.1941
1949,4,-3.3151
1950,1,16.6718
1950,2,12.7689
1950,3,16.3769
1950,4,7.8819
1951,1,5.5443
1951,2,7.1132
1951,3,8.5023
1951,4,0.8839
1952,1,4.3432
1952,2,0.8643
1952,3,2.9189
1952,4,13.7982
1953,1,7.6453
1953,2,3.128
1953,3,-2.2318
1953,4,-5.9198
1954,1,-1.8984
1954,2,0.4367
1954,3,4.5946
1954,4,8.0595
1955,1,11.9239
1955,2,6.6693
1955,3,5.5123
1955,4,2.423
1956,1,-1.5446
1956,2,3.3465
1956,3,-0.3588
1956,4,6.7481
1957,1,2.5863
1957,2,-0.8735
1957,3,3.9775
1957,4,-4.0746
1958,1,-9.986
1958,2,2.6555
1958,3,9.5816
1958,4,9.6907
1959,1,7.9095
1959,2,9.3358
1959,3,0.2851
1959,4,1.145
1960,1,9.2968
1960,2,-2.1402
1960,3,1.9715
1960,4,-5.0357
1961,1,2.7276
1961,2,6.9648
1961,3,7.9025
1961,4,8.0782
1962,1,7.3276
1962,2,3.664
1962,3,5.0053
1962,4,1.3219
1963,1,4.4384
1963,2,4.5646
1963,3,9.088
1963,4,2.6483
1964,1,8.7036
1964,2,4.4265
1964,3,6.3972
1964,4,1.2413
1965,1,10.0361
1965,2,5.1496
1965,3,9.1941
1965,4,9.5396
1966,1,10.0983
1966,2,1.3735
1966,3,3.4309
1966,4,3.3221
1967,1,3.5897
1967,2,0.2453
1967,3,3.8386
1967,4,3.0504
1968,1,8.411
1968,2,6.8526
1968,3,3.1361
1968,4,1.5825
1969,1,6.4089
1969,2,1.2216
1969,3,2.6683
1969,4,-1.9365
1970,1,-0.5926
1970,2,0.5689
1970,3,3.7376
1970,4,-4.2182
1971,1,11.3146
1971,2,2.1821
1971,3,3.3328
1971,4,0.9465
1972,1,7.5612
1972,2,9.3929
1972,3,3.8314
1972,4,6.868
1973,1,10.2728
1973,2,4.4262
