Year,Month,Inflation
1954,1,3.171
1954,2,2.25
1954,3,-2.635
1954,4,-3.075
1954,5,3.173
1954,6,0.447
1954,7,-3.506
1954,8,-0.446
1954,9,-1.773
1954,10,-3.955
1954,11,2.728
1954,12,-0.447
1955,1,0
1955,2,2.264
1955,3,-1.334
1955,4,0
1955,5,-0.892
1955,6,-2.657
1955,7,2.27
1955,8,-1.779
1955,9,5.997
1955,10,-1.333
1955,11,2.718
1955,12,-0.446
1956,1,-1.772
1956,2,1.35
1956,3,1.349
1956,4,1.8
1956,5,4.548
1956,6,5.459
1956,7,6.366
1956,8,0.883
1956,9,1.772
1956,10,7.25
1956,11,0
1956,12,5.362
1957,1,1.751
1957,2,5.786
1957,3,2.621
1957,4,3.057
1957,5,3.049
1957,6,4.817
1957,7,3.469
1957,8,3.899
1957,9,1.711
1957,10,0
1957,11,3.881
1957,12,2.564
1958,1,7.406
1958,2,2.543
1958,3,7.344
1958,4,2.949
1958,5,0
1958,6,-1.237
1958,7,-0.827
1958,8,2.097
1958,9,-1.237
1958,10,0
1958,11,1.673
1958,12,0.832
1959,1,1.67
1959,2,-0.413
1959,3,-1.234
1959,4,0.415
1959,5,2.513
1959,6,2.931
1959,7,1.661
1959,8,1.242
1959,9,2.917
1959,10,4.181
1959,11,0
1959,12,2.481
1960,1,-1.62
1960,2,1.647
1960,3,0
1960,4,5.435
1960,5,1.226
1960,6,1.635
1960,7,-2.405
1960,8,2.464
1960,9,0
1960,10,5.824
1960,11,1.217
1960,12,1.216
1961,1,1.214
1961,2,0
1961,3,0
1961,4,-1.2
1961,5,1.214
1961,6,0
1961,7,3.265
1961,8,0.805
1961,9,1.615
1961,10,0
1961,11,0
1961,12,1.207
1962,1,1.206
1962,2,2.832
1962,3,2.418
1962,4,1.603
1962,5,1.198
1962,6,-1.184
1962,7,0.398
1962,8,2.409
1962,9,5.692
1962,10,-1.567
1962,11,0
1962,12,0
1963,1,2.396
1963,2,1.588
1963,3,1.188
1963,4,-1.174
1963,5,1.188
1963,6,4.005
1963,7,3.182
1963,8,2.371
1963,9,-1.164
1963,10,1.178
1963,11,1.177
1963,12,3.969
1964,1,2.357
1964,2,-1.157
1964,3,1.171
1964,4,0.389
1964,5,1.169
1964,6,1.168
1964,7,0.388
1964,8,1.167
1964,9,1.166
1964,10,1.555
1964,11,3.526
1964,12,1.549
1965,1,1.158
1965,2,0
1965,3,1.157
1965,4,2.716
1965,5,3.892
1965,6,5.07
1965,7,-1.133
1965,8,-1.134
1965,9,2.695
1965,10,1.144
1965,11,3.858
1965,12,3.846
1966,1,1.136
1966,2,7.793
1966,3,3.805
1966,4,3.793
1966,5,2.633
1966,6,1.119
1966,7,2.625
1966,8,7.652
1966,9,3.738
1966,10,3.726
1966,11,1.101
1966,12,1.47
1967,1,-0.727
1967,2,3.709
1967,3,0
1967,4,3.698
1967,5,0
1967,6,7.497
1967,7,3.664
1967,8,3.653
1967,9,3.641
1967,10,3.63
1967,11,7.359
1967,12,3.598
1968,1,3.587
1968,2,3.576
1968,3,3.566
1968,4,3.555
1968,5,3.545
1968,6,7.183
1968,7,7.14
1968,8,3.493
1968,9,3.483
1968,10,7.056
1968,11,3.453
1968,12,6.994
1969,1,3.423
1969,2,3.414
1969,3,10.533
1969,4,6.855
1969,5,3.356
1969,6,6.796
1969,7,6.758
1969,8,3.31
1969,9,6.701
1969,10,6.664
1969,11,6.628
1969,12,6.591
1970,1,6.555
1970,2,6.52
1970,3,6.484
1970,4,6.449
1970,5,3.162
1970,6,6.398
1970,7,3.137
1970,8,3.129
1970,9,6.33
